index,carat,cut,color,clarity,depth,table,x,y,z
80,0.31,Premium,F,VS2,59.0,59.0,4.47,4.44,2.63
81,0.7,Premium,H,VS1,62.8,60.0,5.61,5.56,3.51
82,0.51,Very Good,D,SI2,61.5,59.0,5.07,5.14,3.14
83,0.69,Premium,F,SI1,61.2,58.0,5.73,5.7,3.5
84,0.31,Premium,D,VS2,61.7,59.0,4.34,4.31,2.67
85,0.23,Very Good,E,VVS1,63.5,54.0,3.92,3.95,2.5
86,0.76,Ideal,E,VS2,61.5,56.0,5.89,5.92,3.63
87,0.56,Very Good,H,SI2,62.0,63.0,5.26,5.21,3.27
88,1.09,Ideal,E,SI2,61.6,55.0,6.64,6.6,4.08
89,0.32,Premium,G,SI1,62.0,55.0,4.43,4.41,2.74
90,0.3,Ideal,E,VS2,63.8,56.0,4.28,4.2,2.71
91,0.75,Premium,D,SI1,62.8,60.0,5.78,5.74,3.62
92,1.07,Premium,G,VS2,62.1,58.0,6.59,6.55,4.08
93,0.38,Premium,H,SI1,61.2,62.0,4.66,4.62,2.84
94,0.7,Very Good,F,VVS2,61.6,63.0,5.65,5.69,3.49
95,0.3,Ideal,E,SI1,62.9,57.0,4.3,4.25,2.69
96,0.84,Premium,E,SI2,59.2,59.0,6.19,6.14,3.65
97,1.51,Very Good,G,SI1,59.6,60.0,7.43,7.47,4.44
98,0.75,Premium,D,SI1,61.3,59.0,5.89,5.82,3.59
99,0.71,Very Good,F,VS2,63.1,58.0,5.65,5.7,3.58
100,0.28,Ideal,I,VS1,61.8,55.0,4.2,4.25,2.61
101,0.3,Ideal,H,VS2,60.7,57.0,4.37,4.33,2.64
102,0.72,Premium,I,SI1,61.5,59.0,5.73,5.78,3.54
103,1.0,Very Good,G,SI1,63.1,56.0,6.41,6.31,4.01
104,0.32,Ideal,G,VS1,62.3,56.0,4.39,4.37,2.73
105,0.52,Premium,G,SI2,58.8,62.0,5.31,5.3,3.12
106,0.4,Very Good,G,SI1,61.6,59.0,4.66,4.72,2.89
107,0.55,Premium,E,VS2,62.3,60.0,5.26,5.18,3.25
108,0.4,Ideal,H,VS1,61.1,57.0,4.74,4.78,2.91
109,0.93,Very Good,F,SI2,63.5,58.0,6.14,6.05,3.87
110,0.4,Good,E,SI1,63.5,56.0,4.67,4.72,2.98
111,0.47,Very Good,D,VS1,60.0,59.0,5.07,5.09,3.06
112,0.35,Ideal,H,VVS1,61.7,56.0,4.55,4.53,2.8
113,0.3,Ideal,I,VVS1,61.3,57.0,4.34,4.31,2.65
114,0.5,Good,F,VS2,63.3,60.0,4.99,5.03,3.17
115,1.0,Very Good,F,SI2,63.4,55.0,6.3,6.38,4.02
116,0.39,Ideal,G,VVS2,60.6,57.0,4.72,4.75,2.87
117,0.92,Premium,I,SI1,58.8,59.0,6.36,6.33,3.73
118,1.01,Fair,F,VS2,61.1,60.0,6.49,6.4,3.94
119,0.78,Premium,J,SI1,63.0,60.0,5.88,5.82,3.66
120,1.22,Ideal,E,SI2,62.8,54.0,6.78,6.75,4.25
121,0.58,Very Good,E,SI1,61.5,58.0,5.31,5.36,3.28
122,1.01,Good,D,VS2,61.8,59.0,6.28,6.35,3.9
123,0.31,Very Good,F,VS1,62.0,56.0,4.32,4.35,2.69
124,0.3,Ideal,F,VS2,63.0,55.0,4.29,4.28,2.7
125,1.03,Ideal,F,SI2,62.6,57.0,6.44,6.4,4.02
126,0.74,Very Good,E,SI2,61.0,57.0,5.83,5.88,3.57
127,0.73,Ideal,I,VS1,60.7,56.0,5.85,5.81,3.54
128,0.71,Ideal,G,VS1,61.8,57.0,5.69,5.73,3.53
129,0.34,Ideal,G,VS2,61.5,55.0,4.5,4.47,2.76
130,0.93,Premium,D,SI2,62.0,56.0,6.27,6.22,3.87
131,1.48,Premium,H,SI2,59.7,59.0,7.46,7.42,4.44
132,0.43,Premium,G,IF,61.0,58.0,4.82,4.88,2.96
133,1.01,Very Good,F,VS2,61.5,54.0,6.45,6.5,3.98
134,0.35,Ideal,F,VS1,62.4,57.0,4.49,4.52,2.81
135,1.51,Good,F,SI2,63.4,57.0,7.25,7.29,4.61
136,0.9,Good,H,SI2,61.3,61.0,6.11,6.16,3.76
137,0.74,Ideal,D,VS1,61.3,57.0,5.8,5.84,3.57
138,0.32,Ideal,G,VVS2,62.1,54.0,4.4,4.42,2.74
139,0.91,Good,H,SI1,63.8,56.0,6.09,6.04,3.87
140,0.36,Premium,I,VS2,61.6,58.0,4.57,4.52,2.8
141,0.42,Ideal,G,VVS1,61.9,56.0,4.8,4.85,2.98
142,1.01,Ideal,E,VS1,62.7,55.0,6.4,6.45,4.03
143,0.37,Ideal,E,VS2,62.0,57.0,4.6,4.63,2.86
144,0.9,Ideal,D,SI1,62.1,57.0,6.18,6.25,3.86
145,1.57,Premium,G,SI1,59.2,59.0,7.6,7.68,4.52
146,1.77,Ideal,D,SI2,61.8,57.0,7.77,7.71,4.78
147,0.54,Very Good,D,SI1,63.2,55.0,5.21,5.17,3.28
148,2.16,Ideal,H,I1,62.2,56.0,8.31,8.26,5.15
149,0.7,Very Good,G,VS2,63.3,57.0,5.62,5.66,3.57
150,1.2,Ideal,H,SI2,61.1,57.0,6.9,6.81,4.19
151,1.83,Premium,H,SI1,60.4,59.0,7.89,7.85,4.75
152,0.72,Ideal,F,SI1,62.0,55.0,5.76,5.78,3.58
153,0.7,Premium,E,VS1,62.2,58.0,5.6,5.66,3.5
154,0.29,Ideal,F,VVS1,61.1,57.0,4.26,4.29,2.61
155,1.12,Ideal,H,SI1,62.0,57.0,6.69,6.64,4.13
156,0.9,Premium,I,VS2,61.6,58.0,6.15,6.09,3.77
157,0.32,Good,D,SI1,63.8,55.0,4.35,4.36,2.78
158,0.3,Premium,D,VS2,62.5,58.0,4.29,4.26,2.67
159,1.54,Premium,I,SI2,61.2,58.0,7.51,7.43,4.57
160,0.71,Very Good,I,VS2,63.4,56.0,5.65,5.61,3.57
161,0.43,Ideal,G,VVS2,60.1,57.0,4.91,4.88,2.94
162,0.32,Ideal,F,VVS1,62.3,56.0,4.35,4.38,2.72
163,1.52,Fair,G,SI2,64.9,59.0,7.19,7.15,4.65
164,0.33,Ideal,E,VS2,61.6,57.0,4.46,4.44,2.74
165,0.45,Ideal,G,VS1,59.0,60.0,4.98,5.05,2.96
166,0.32,Good,F,VVS1,63.8,54.0,4.38,4.31,2.77
167,0.4,Very Good,I,VVS1,63.5,57.0,4.68,4.65,2.96
168,1.24,Ideal,G,IF,62.0,55.0,6.93,6.89,4.29
169,1.01,Premium,G,SI2,62.9,57.0,6.39,6.33,4.0
170,0.57,Premium,H,VS2,60.1,61.0,5.4,5.29,3.21
171,0.31,Very Good,I,VVS1,63.6,55.0,4.27,4.32,2.73
172,1.0,Good,F,SI2,64.1,58.0,6.35,6.26,4.04
173,0.61,Ideal,E,VVS2,62.4,53.9,5.42,5.43,3.38
174,0.37,Premium,D,VS2,61.0,59.0,4.63,4.59,2.81
175,0.34,Premium,F,VS2,59.8,59.0,4.55,4.51,2.71
176,0.54,Ideal,E,VS2,61.0,56.0,5.25,5.28,3.21
177,0.51,Good,D,SI2,64.2,56.0,5.05,5.02,3.23
178,0.35,Ideal,F,SI1,62.2,56.0,4.48,4.52,2.8
179,0.38,Premium,E,VS2,59.2,60.0,4.77,4.73,2.81
180,1.51,Ideal,I,SI2,61.8,57.0,7.43,7.36,4.57
181,1.52,Premium,I,SI1,61.2,60.0,7.41,7.36,4.52
182,0.31,Very Good,G,SI1,61.8,55.0,4.35,4.38,2.69
183,1.7,Good,J,VS2,63.6,59.0,7.53,7.48,4.77
184,1.0,Ideal,I,SI2,61.7,56.0,6.45,6.41,3.97
185,0.33,Premium,I,VVS2,61.4,58.0,4.48,4.45,2.74
186,0.31,Ideal,F,VVS1,62.2,53.0,4.35,4.37,2.71
187,0.91,Premium,D,VS2,62.7,59.0,6.16,6.13,3.85
188,1.04,Ideal,F,SI2,62.1,57.0,6.46,6.48,4.02
189,0.4,Premium,G,IF,60.8,58.0,4.73,4.77,2.89
190,0.73,Fair,E,SI1,64.6,59.0,5.69,5.64,3.66
191,0.61,Very Good,E,VS2,60.0,57.0,5.52,5.55,3.32
192,1.14,Ideal,I,VS2,62.9,56.0,6.71,6.67,4.21
193,0.3,Very Good,F,VS1,63.1,59.0,4.2,4.27,2.67
194,0.32,Ideal,E,VS2,61.4,56.0,4.41,4.45,2.72
195,2.04,Ideal,I,SI1,62.8,57.0,8.09,8.02,5.06
196,0.31,Ideal,F,IF,61.9,54.0,4.38,4.41,2.72
197,0.6,Ideal,I,VVS1,62.0,56.0,5.39,5.43,3.35
198,1.06,Ideal,D,VVS2,61.9,56.0,6.51,6.54,4.04
199,0.38,Ideal,F,VVS2,62.0,54.1,4.66,4.68,2.9
200,0.38,Ideal,G,VS2,61.5,54.4,4.65,4.7,2.88
201,1.54,Premium,J,VS2,59.3,59.0,7.54,7.5,4.46
202,0.7,Ideal,F,SI1,62.2,55.0,5.73,5.68,3.55
203,1.05,Very Good,J,I1,59.6,63.0,6.61,6.55,3.92
204,1.05,Premium,H,SI1,59.5,58.0,6.69,6.61,3.96
205,0.42,Ideal,F,SI2,61.7,54.0,4.85,4.87,3.0
206,0.9,Premium,E,SI1,61.9,58.0,6.17,6.1,3.8
207,0.71,Very Good,H,SI1,64.0,58.0,5.57,5.61,3.58
208,0.31,Ideal,G,IF,62.5,56.0,4.33,4.37,2.71
209,1.1,Ideal,H,VS2,62.7,56.0,6.58,6.63,4.14
210,1.28,Premium,G,SI2,62.6,58.0,6.94,6.89,4.33
211,1.25,Premium,J,VS1,62.2,58.0,6.88,6.92,4.29
212,1.5,Ideal,I,I1,61.8,57.0,7.31,7.39,4.54
213,0.53,Ideal,I,VS2,62.3,57.0,5.15,5.18,3.22
214,0.5,Fair,F,I1,67.1,57.0,4.92,4.87,3.28
215,0.41,Premium,G,SI1,62.7,58.0,4.7,4.74,2.96
216,0.31,Ideal,G,VVS1,59.5,56.0,4.43,4.41,2.63
217,0.8,Premium,J,VS2,62.7,61.0,5.89,5.84,3.68
218,1.6,Premium,G,SI1,62.2,58.0,7.44,7.5,4.65
219,0.41,Ideal,G,VVS2,60.4,56.0,4.8,4.83,2.91
220,0.51,Premium,F,VS2,62.1,58.0,5.12,5.09,3.17
221,1.14,Ideal,G,VS2,61.4,56.0,6.74,6.77,4.15
222,0.9,Very Good,D,VS2,63.5,61.0,6.16,6.09,3.89
223,0.54,Premium,D,SI1,60.0,58.0,5.26,5.3,3.17
224,0.56,Ideal,F,VS2,62.6,56.0,5.28,5.3,3.31
225,0.43,Ideal,F,VVS2,62.2,55.0,4.85,4.83,3.01
226,0.7,Good,G,SI1,64.0,57.0,5.63,5.58,3.59
227,0.24,Ideal,F,VVS2,62.6,57.0,3.93,3.96,2.47
228,0.37,Ideal,D,VS2,61.1,54.0,4.63,4.66,2.84
229,0.53,Ideal,H,VVS2,61.8,56.0,5.2,5.22,3.22
230,0.55,Premium,G,SI2,60.3,58.0,5.35,5.33,3.22
231,1.05,Premium,H,SI2,61.4,58.0,6.58,6.54,4.03
232,1.04,Very Good,F,SI2,62.4,54.0,6.46,6.53,4.05
233,0.31,Ideal,D,SI1,61.3,56.0,4.36,4.41,2.69
234,0.31,Ideal,D,VS2,62.1,56.0,4.34,4.35,2.7
235,1.0,Premium,G,VS1,59.2,60.0,6.6,6.54,3.89
236,0.55,Premium,E,VS2,60.1,59.0,5.36,5.29,3.2
237,0.5,Very Good,J,VS2,63.2,60.0,5.06,5.01,3.18
238,2.58,Premium,H,SI2,62.6,57.0,8.77,8.73,5.48
239,0.73,Ideal,H,VS2,61.4,55.0,5.79,5.82,3.56
240,0.7,Good,G,VVS2,61.1,61.0,5.67,5.69,3.47
241,0.31,Ideal,G,VVS1,61.2,56.0,4.34,4.38,2.67
242,0.4,Premium,F,VS1,61.1,59.0,4.71,4.75,2.89
243,0.3,Premium,I,VVS1,60.5,60.0,4.34,4.32,2.62
244,1.04,Ideal,G,VS2,62.8,56.0,6.48,6.42,4.05
245,0.34,Ideal,E,VS1,62.0,57.0,4.44,4.49,2.77
246,2.55,Premium,I,SI2,62.9,58.0,8.7,8.59,5.44
247,0.71,Very Good,F,VVS1,63.3,58.0,5.67,5.64,3.58
248,1.64,Ideal,G,VVS2,61.8,56.0,7.59,7.6,4.69
249,0.53,Ideal,D,VS2,61.2,57.0,5.26,5.2,3.2
250,2.01,Ideal,I,SI1,61.9,56.0,8.16,8.08,5.03
251,1.01,Premium,G,SI1,61.0,59.0,6.45,6.51,3.95
252,1.06,Premium,G,SI2,61.9,60.0,6.53,6.52,4.04
253,0.31,Premium,F,VVS1,62.4,60.0,4.31,4.28,2.68
254,1.22,Premium,H,VS2,62.4,58.0,6.84,6.79,4.25
255,0.34,Good,H,VS2,63.1,56.0,4.41,4.46,2.8
256,0.71,Ideal,F,VS1,62.3,55.0,5.74,5.76,3.58
257,1.51,Ideal,I,VS2,60.7,57.0,7.42,7.35,4.48
258,0.56,Very Good,D,IF,60.7,56.0,5.34,5.36,3.25
259,0.43,Premium,G,VS2,62.3,58.0,4.81,4.85,3.01
260,0.53,Ideal,D,SI1,61.2,57.0,5.24,5.19,3.19
261,0.34,Very Good,G,SI2,62.8,58.0,4.43,4.46,2.79
262,1.66,Premium,I,SI2,60.0,59.0,7.63,7.56,4.56
263,2.02,Ideal,G,SI2,63.5,54.0,7.96,8.02,5.07
264,1.25,Ideal,G,SI1,62.5,54.0,6.88,6.85,4.29
265,0.59,Ideal,E,SI1,62.2,55.0,5.39,5.42,3.36
266,0.41,Ideal,F,VS2,61.8,56.0,4.8,4.78,2.96
267,1.0,Premium,D,VS1,61.9,55.0,6.4,6.36,3.95
268,0.5,Good,E,SI2,58.3,58.0,5.23,5.2,3.04
269,1.31,Ideal,H,SI2,62.2,57.0,6.96,7.0,4.34
270,0.3,Ideal,G,SI2,60.6,56.0,4.35,4.4,2.65
271,0.51,Very Good,G,VS2,62.9,57.0,5.06,5.12,3.2
272,0.9,Very Good,I,VS2,61.6,57.0,6.13,6.17,3.79
273,1.54,Premium,E,SI1,62.7,58.0,7.37,7.3,4.6
274,0.86,Very Good,D,VS2,62.8,55.0,6.07,6.13,3.83
275,1.02,Premium,F,VS2,61.3,58.0,6.42,6.54,3.97
276,1.14,Good,G,SI2,63.7,58.0,6.62,6.54,4.19
277,0.3,Premium,G,SI2,62.7,55.0,4.29,4.26,2.68
278,0.71,Premium,E,SI1,59.5,62.0,5.85,5.74,3.45
279,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96
280,1.02,Premium,F,SI2,62.0,59.0,6.42,6.33,3.95
281,0.72,Ideal,G,VS2,61.3,56.0,5.77,5.81,3.55
282,0.38,Very Good,F,SI1,61.7,58.0,4.66,4.73,2.89
283,1.01,Premium,H,SI1,61.2,59.0,6.45,6.4,3.93
284,0.59,Very Good,D,SI1,63.1,61.0,5.35,5.3,3.36
285,0.9,Ideal,G,VS1,61.4,57.0,6.18,6.32,3.84
286,0.38,Ideal,D,VVS1,62.0,57.0,4.6,4.69,2.88
287,0.32,Very Good,E,VS1,64.0,56.0,4.33,4.36,2.78
288,1.0,Fair,F,SI2,65.1,60.0,6.19,6.1,4.0
289,0.36,Ideal,E,VS1,61.8,54.0,4.56,4.6,2.83
290,1.22,Premium,H,SI1,60.6,58.0,6.91,6.86,4.17
291,0.34,Premium,D,SI1,62.0,56.0,4.47,4.43,2.76
292,0.72,Ideal,F,VS1,61.8,56.0,5.72,5.77,3.55
293,0.7,Very Good,E,SI1,63.3,60.0,5.59,5.56,3.53
294,1.27,Ideal,J,SI2,62.6,57.0,6.88,6.85,4.3
295,0.82,Ideal,F,SI1,62.1,56.0,6.04,6.0,3.74
296,1.52,Premium,E,VS1,60.6,58.0,7.38,7.44,4.49
297,0.33,Ideal,G,VS1,62.9,57.0,4.43,4.38,2.77
298,1.01,Very Good,F,VS1,63.3,60.0,6.35,6.32,4.01
299,0.71,Premium,E,SI1,61.7,61.0,5.76,5.74,3.55
300,1.01,Fair,D,SI1,64.4,61.0,6.17,6.13,3.96
301,0.34,Premium,I,VVS1,62.4,59.0,4.4,4.44,2.76
302,0.33,Premium,E,VS1,60.9,58.0,4.45,4.49,2.72
303,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9
304,0.33,Ideal,H,VS1,61.7,54.0,4.45,4.47,2.75
305,1.11,Premium,D,SI1,62.0,58.0,6.68,6.64,4.13
306,0.76,Good,J,VS1,62.6,61.9,5.7,5.75,3.58
307,0.54,Ideal,G,VS2,62.3,54.0,5.27,5.23,3.27
308,1.5,Very Good,G,VS2,62.1,57.0,7.21,7.31,4.51
309,0.7,Premium,E,VS2,61.5,59.0,5.73,5.68,3.51
310,1.05,Premium,H,VS2,59.0,59.0,6.71,6.68,3.95
311,0.7,Ideal,G,SI1,62.1,58.0,5.67,5.69,3.53
312,0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47
313,1.01,Premium,H,SI2,61.6,60.0,6.22,6.18,3.82
314,1.27,Premium,H,VS2,61.1,58.0,6.96,6.88,4.23
315,1.51,Good,G,VS1,63.1,55.0,7.3,7.34,4.62
316,1.5,Premium,G,SI1,61.2,58.0,7.34,7.44,4.52
317,0.41,Ideal,F,VVS2,61.7,57.0,4.8,4.73,2.94
318,0.56,Ideal,H,VVS1,62.1,54.0,5.28,5.31,3.29
319,0.3,Good,J,SI1,64.0,55.0,4.28,4.25,2.73
320,1.82,Very Good,F,SI1,63.2,56.0,7.71,7.64,4.85
321,1.01,Premium,G,VVS2,61.7,59.0,6.44,6.37,3.95
322,0.37,Premium,G,VS1,59.5,58.0,4.67,4.71,2.79
323,0.35,Ideal,H,IF,61.9,55.0,4.54,4.51,2.8
324,1.39,Ideal,E,VS2,60.8,57.0,7.24,7.21,4.39
325,0.39,Premium,H,SI1,62.0,60.0,4.65,4.71,2.9
326,0.7,Premium,F,SI1,62.9,59.0,5.67,5.62,3.55
327,0.33,Ideal,F,VVS1,61.9,54.0,4.42,4.46,2.75
328,0.71,Very Good,E,VVS2,61.7,60.0,5.7,5.74,3.53
329,1.0,Premium,G,SI2,61.8,58.0,6.44,6.4,3.97
330,1.2,Very Good,G,SI1,63.4,55.0,6.72,6.65,4.24
331,0.7,Very Good,G,VS1,61.0,57.0,5.69,5.72,3.48
332,0.39,Ideal,F,VS2,59.2,58.0,4.78,4.81,2.84
333,0.41,Premium,D,SI2,62.0,58.0,4.74,4.78,2.95
334,0.7,Ideal,F,VS2,60.8,56.0,5.78,5.79,3.52
335,2.03,Premium,E,SI2,61.5,59.0,8.16,8.24,5.04
336,0.47,Ideal,H,VS2,62.0,54.0,4.99,5.01,3.1
337,0.58,Very Good,J,VS2,62.9,58.0,5.3,5.32,3.34
338,0.51,Ideal,D,SI2,62.8,57.0,5.12,5.1,3.21
339,0.42,Very Good,D,SI1,61.5,58.0,4.8,4.83,2.96
340,0.41,Premium,F,VS1,62.4,60.0,4.77,4.71,2.96
341,0.3,Ideal,E,VVS1,61.6,56.0,4.3,4.34,2.66
342,1.01,Good,G,SI1,63.9,57.0,6.37,6.3,4.05
343,1.11,Premium,J,VS2,59.9,60.0,6.78,6.71,4.04
344,0.41,Premium,I,VVS1,61.5,59.0,4.75,4.81,2.94
345,1.14,Ideal,E,VVS2,62.3,55.0,6.71,6.68,4.17
346,0.41,Ideal,F,VVS1,62.3,55.0,4.74,4.79,2.97
347,1.33,Premium,I,VS2,62.5,61.0,7.02,6.99,4.38
348,0.39,Ideal,G,SI2,61.2,56.0,4.71,4.73,2.89
349,0.32,Ideal,D,SI1,62.0,55.0,4.47,4.37,2.74
350,0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73
351,0.3,Ideal,H,VS1,62.2,57.0,4.28,4.3,2.67
352,0.76,Very Good,E,VS2,63.0,59.0,5.76,5.79,3.64
353,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22
354,0.32,Premium,G,VS2,62.1,60.0,4.34,4.39,2.71
355,0.3,Ideal,G,VVS1,62.6,54.0,4.25,4.28,2.67
356,0.57,Ideal,F,VVS2,60.2,57.0,5.38,5.41,3.25
357,1.56,Premium,G,VS2,61.9,58.0,7.4,7.44,4.59
358,0.54,Premium,D,SI1,60.4,60.0,5.24,5.22,3.16
359,0.23,Ideal,F,VVS2,62.3,56.0,3.95,4.01,2.48
360,0.83,Very Good,E,SI1,62.1,58.0,6.01,6.04,3.74
361,0.32,Premium,G,VS2,60.5,58.0,4.42,4.41,2.67
362,0.3,Good,H,VS1,63.1,57.0,4.24,4.26,2.68
363,0.9,Good,G,SI1,64.2,58.0,6.04,6.01,3.87
364,0.7,Very Good,D,SI2,63.3,57.0,5.64,5.6,3.56
365,0.34,Ideal,G,IF,62.2,56.0,4.45,4.46,2.77
366,0.4,Premium,E,VS1,61.8,56.0,4.77,4.74,2.94
367,0.55,Ideal,E,VVS2,61.4,56.0,5.28,5.31,3.25
368,0.41,Premium,I,VVS2,59.9,58.0,4.87,4.81,2.9
369,1.54,Premium,H,VS2,61.0,60.0,7.42,7.46,4.54
370,1.53,Premium,J,VS1,60.1,59.0,7.51,7.47,4.5
371,0.34,Premium,I,VVS1,62.6,58.0,4.45,4.47,2.79
372,1.26,Premium,E,VS1,60.7,58.0,7.02,7.04,4.27
373,0.32,Premium,H,VS1,61.6,59.0,4.37,4.39,2.7
374,1.04,Premium,E,SI2,60.1,58.0,6.65,6.56,3.97
375,0.29,Ideal,G,VVS1,61.5,56.0,4.25,4.28,2.62
376,0.61,Very Good,G,VVS2,62.3,59.0,5.4,5.45,3.38
377,1.0,Premium,I,VS2,61.6,59.0,6.47,6.39,3.96
378,0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98
379,0.36,Premium,H,VS2,60.0,62.0,4.62,4.58,2.76
380,0.25,Very Good,D,VS1,60.8,60.0,4.07,4.09,2.48
