index,carat,cut,color,clarity,depth,table,x,y,z,price
40,0.5,Very Good,G,VS2,62.8,56.0,5.05,5.08,3.18,1373
41,0.5,Ideal,I,VS2,62.4,55.0,5.09,5.11,3.18,1110
42,0.31,Premium,H,VS2,62.7,59.0,4.32,4.29,2.7,628
43,0.92,Very Good,F,SI1,62.9,56.0,6.2,6.24,3.91,4037
44,0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72,900
45,0.3,Premium,F,VS2,60.7,58.0,4.32,4.35,2.63,605
46,0.26,Premium,F,VS1,59.5,58.0,4.18,4.22,2.5,452
47,1.2,Premium,D,VVS1,62.1,59.0,0.0,0.0,0.0,15686
48,0.96,Ideal,G,SI1,63.0,54.0,6.27,6.24,3.94,4355
49,0.5,Ideal,D,VVS2,61.0,56.0,5.11,5.15,3.13,2272
50,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,1061
51,0.7,Good,I,SI1,63.6,61.0,5.63,5.59,3.57,2142
52,1.08,Ideal,E,VVS1,61.7,55.0,6.6,6.63,4.08,14032
53,0.35,Good,D,SI1,57.7,60.0,4.69,4.64,2.69,739
54,0.34,Premium,F,VS1,60.0,59.0,4.59,4.55,2.74,725
55,1.26,Premium,H,SI2,58.6,59.0,7.09,7.04,4.14,5998
56,0.7,Very Good,E,SI1,58.7,60.0,5.85,5.88,3.44,2239
57,1.05,Premium,G,VS1,61.1,59.0,6.6,6.55,4.02,7644
58,0.5,Very Good,F,VS2,63.0,58.0,5.05,5.08,3.19,1436
59,1.21,Very Good,I,SI2,62.1,59.0,6.8,6.86,4.24,4791
60,2.0,Premium,D,SI2,59.3,62.0,8.12,8.06,4.8,12576
61,0.3,Good,G,VS2,63.5,54.0,4.25,4.28,2.71,526
62,1.01,Ideal,E,SI2,62.1,56.0,6.39,6.43,3.98,4355
63,0.3,Premium,G,VS1,60.0,60.0,4.33,4.3,2.59,776
64,2.11,Very Good,F,SI2,63.5,55.0,8.08,8.13,5.15,18071
65,1.03,Very Good,G,SI2,63.5,56.0,6.37,6.33,4.03,4413
66,0.3,Ideal,D,SI1,61.0,58.0,4.32,4.33,2.64,547
67,0.7,Ideal,E,SI2,62.9,56.0,5.66,5.6,3.54,2100
68,1.52,Ideal,F,SI1,62.3,55.1,7.29,7.39,4.58,11971
69,1.21,Premium,I,SI1,60.6,56.0,6.97,6.89,4.2,5556
70,1.5,Premium,I,VVS2,61.4,58.0,7.38,7.32,4.51,11007
71,0.71,Ideal,F,VVS1,61.4,56.0,5.75,5.78,3.54,5019
72,0.93,Good,G,VS1,63.8,59.0,6.21,6.15,3.94,4425
73,1.3,Ideal,H,SI1,62.2,56.0,7.03,6.98,4.36,7054
74,1.54,Premium,H,VS2,60.3,60.0,7.47,7.45,4.5,9081
75,0.44,Ideal,G,VVS1,61.3,56.0,4.91,4.93,3.01,1202
76,0.25,Ideal,F,VS2,61.7,56.0,4.04,4.07,2.5,535
77,0.33,Ideal,D,VS1,61.3,55.0,4.46,4.48,2.74,1006
78,1.21,Very Good,H,SI1,63.5,58.0,6.73,6.63,4.24,4944
79,0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
80,0.36,Very Good,G,SI2,61.9,56.0,4.55,4.59,2.83,473
81,0.3,Ideal,D,VS2,62.8,57.0,4.29,4.25,2.68,911
82,0.54,Ideal,I,VS1,61.5,56.0,5.24,5.26,3.23,1147
83,0.43,Ideal,F,VS1,61.9,56.0,4.84,4.85,3.0,774
84,0.26,Very Good,E,VS2,60.4,58.0,4.15,4.19,2.52,452
85,0.54,Ideal,G,VVS2,61.5,57.0,5.21,5.26,3.22,2060
86,1.09,Good,D,IF,58.7,61.0,6.75,6.85,3.99,16406
87,0.41,Very Good,H,VVS2,62.2,58.0,4.71,4.74,2.94,899
88,0.4,Ideal,H,SI1,61.8,57.0,4.75,4.77,2.94,896
89,0.35,Premium,H,VVS2,61.9,58.0,4.54,4.5,2.8,906
90,1.08,Ideal,H,VVS1,61.8,57.0,6.55,6.59,4.06,9041
91,0.54,Ideal,F,VS2,62.0,55.0,5.25,5.32,3.28,1563
92,0.51,Ideal,G,VS1,62.7,54.0,5.08,5.1,3.19,1656
93,0.33,Very Good,H,VVS2,61.6,56.0,4.44,4.47,2.74,614
94,1.5,Very Good,G,VS2,60.7,59.0,7.31,7.38,4.46,18691
95,1.03,Premium,D,SI2,61.7,58.0,6.5,6.47,4.0,4764
96,0.34,Premium,G,IF,60.5,58.0,4.52,4.47,2.72,939
97,0.9,Fair,E,SI2,64.5,55.0,6.12,6.03,3.92,3084
98,1.03,Premium,F,SI1,61.5,57.0,6.53,6.44,3.99,5087
99,0.52,Very Good,E,SI1,61.1,62.0,5.16,5.18,3.16,1343
100,1.01,Good,E,SI2,57.5,63.0,6.56,6.58,3.78,4171
101,0.32,Ideal,D,VS1,62.2,54.0,4.41,4.43,2.75,790
102,0.71,Very Good,I,VVS1,63.0,58.0,5.68,5.72,3.59,2456
103,0.91,Very Good,J,VS1,63.5,55.0,6.22,6.12,3.92,3082
104,0.73,Very Good,F,VVS2,62.1,57.0,5.74,5.76,3.57,3705
105,0.51,Ideal,G,VVS2,62.4,56.0,5.1,5.13,3.19,1916
106,0.32,Premium,G,VS1,62.1,58.0,4.39,4.37,2.72,828
107,1.02,Very Good,E,SI2,63.0,57.0,6.39,6.44,4.04,4398
108,0.5,Ideal,E,VS2,61.8,55.0,5.06,5.11,3.14,1624
109,0.7,Very Good,H,VS1,63.3,59.0,5.62,5.66,3.57,2484
110,0.54,Ideal,F,VS2,61.3,57.0,5.28,5.25,3.23,1572
111,0.51,Ideal,E,SI1,61.2,57.0,5.14,5.16,3.15,1284
112,0.33,Ideal,G,SI1,61.3,56.0,4.45,4.49,2.74,475
113,0.3,Good,J,VS2,64.1,58.0,4.26,4.23,2.72,441
114,1.24,Ideal,H,SI2,62.0,56.0,6.87,6.9,4.27,5797
115,0.38,Ideal,F,VS2,62.1,57.0,4.61,4.67,2.88,800
116,2.25,Ideal,H,SI1,62.4,56.0,8.4,8.37,5.23,14348
117,0.41,Ideal,F,VVS2,61.0,56.0,4.78,4.82,2.93,1115
118,1.55,Premium,J,VS1,61.6,58.0,7.39,7.42,4.56,7733
119,1.03,Ideal,E,SI2,62.5,56.0,6.48,6.45,4.04,4522
120,0.7,Fair,G,I1,64.6,59.0,5.64,5.48,3.6,1115
121,0.61,Ideal,G,SI1,62.0,54.0,5.48,5.5,3.4,1579
122,0.52,Ideal,H,SI1,62.3,54.0,5.15,5.18,3.22,1074
123,1.07,Ideal,H,VS1,60.2,59.0,6.66,6.69,4.02,6479
124,1.27,Ideal,E,SI2,60.2,57.0,7.09,7.14,4.28,6383
125,1.2,Ideal,D,VVS2,62.7,56.0,6.78,6.81,4.26,13165
126,0.43,Good,E,SI1,63.1,56.0,4.8,4.83,3.04,739
127,2.21,Premium,J,SI2,62.7,57.0,8.33,8.25,5.2,13642
128,0.38,Ideal,E,SI1,61.8,53.8,4.63,4.67,2.88,693
129,1.5,Premium,E,VS1,60.3,60.0,7.43,7.34,4.45,16558
130,0.41,Ideal,G,VVS2,61.7,55.0,4.81,4.85,2.98,1199
131,1.37,Premium,H,VS1,60.9,59.0,7.24,7.17,4.39,8577
132,0.51,Ideal,E,SI1,61.7,56.0,5.13,5.17,3.18,1732
133,0.31,Very Good,F,VS2,62.7,57.0,4.31,4.36,2.72,500
134,0.42,Very Good,H,VVS1,62.2,56.0,4.78,4.81,2.98,1193
135,1.29,Ideal,F,VS1,62.3,54.0,7.0,6.93,4.34,10923
136,2.02,Good,H,SI2,59.0,61.0,8.26,8.31,4.89,13144
137,0.43,Very Good,G,VVS2,62.3,60.0,4.78,4.85,3.0,1056
138,1.23,Very Good,F,VVS2,62.2,58.0,6.81,6.86,4.25,11382
139,0.3,Ideal,D,VS2,61.1,56.0,4.36,4.32,2.65,911
140,0.5,Very Good,G,SI1,62.3,58.0,5.06,5.08,3.16,1153
141,0.5,Good,I,SI2,65.3,56.0,4.91,5.01,3.24,855
142,0.33,Very Good,E,SI1,60.2,58.0,4.49,4.55,2.72,579
143,0.47,Ideal,D,VVS1,61.9,54.0,4.98,5.0,3.09,2378
144,0.41,Ideal,H,VVS1,61.5,55.0,4.81,4.79,2.95,1011
145,0.31,Ideal,E,VS2,61.6,56.0,4.4,4.37,2.7,872
146,0.46,Ideal,E,VVS1,62.6,53.0,4.93,4.97,3.1,1816
147,0.31,Very Good,H,SI1,62.3,55.0,4.34,4.36,2.71,446
148,0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,767
149,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,2342
150,0.31,Good,H,VS2,63.8,56.0,4.33,4.29,2.75,586
151,2.02,Very Good,D,SI2,60.6,57.0,8.19,8.25,4.98,15334
152,0.82,Ideal,F,SI2,62.4,54.0,6.02,5.97,3.74,2824
153,0.31,Ideal,I,VS1,61.4,55.2,4.32,4.35,2.66,513
154,0.28,Ideal,G,VS2,62.1,56.0,4.19,4.23,2.61,508
155,1.0,Good,H,VS2,63.7,59.0,6.3,6.26,4.0,4861
156,1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,6451
157,1.07,Premium,H,SI1,60.0,60.0,6.61,6.65,3.98,5031
158,1.24,Ideal,H,SI2,62.0,56.0,6.9,6.87,4.27,5902
159,0.5,Good,E,SI1,63.5,61.0,4.98,5.03,3.18,1279
160,0.41,Ideal,D,SI1,60.7,55.0,4.83,4.86,2.94,771
161,1.06,Ideal,G,VVS2,61.7,56.0,6.59,6.56,4.06,8358
162,0.4,Ideal,H,VVS1,62.3,54.0,4.77,4.74,2.96,1088
163,0.5,Ideal,I,SI1,61.4,56.0,5.13,5.16,3.16,1066
164,1.5,Ideal,I,I1,61.3,57.0,7.36,7.39,4.52,5593
165,0.59,Ideal,G,VS1,61.3,55.0,5.42,5.44,3.33,2129
166,0.7,Premium,G,SI1,61.8,59.0,5.68,5.59,3.48,2184
167,0.4,Ideal,E,VVS2,61.7,57.0,4.77,4.73,2.93,1056
168,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,861
169,0.32,Ideal,G,VS1,62.5,57.0,4.37,4.34,2.72,718
170,0.81,Very Good,F,SI1,63.1,59.0,5.85,5.79,3.67,2809
171,0.32,Very Good,G,VS1,62.4,58.0,4.35,4.4,2.73,645
172,1.22,Ideal,F,VS2,60.7,57.0,6.89,6.94,4.2,9568
173,0.31,Ideal,F,VS2,62.0,56.0,4.39,4.35,2.71,802
174,0.41,Ideal,H,VVS1,62.7,54.0,4.79,4.78,3.0,1115
175,0.24,Ideal,D,VS1,62.6,57.0,3.92,4.0,2.48,687
176,0.75,Fair,D,SI2,64.6,57.0,5.74,5.72,3.7,2848
177,1.05,Very Good,D,SI1,59.3,58.0,6.68,6.74,3.98,6063
178,0.35,Ideal,E,SI2,61.4,56.0,4.51,4.55,2.78,491
179,0.78,Premium,H,SI1,60.0,60.0,5.93,5.92,3.62,2489
180,1.18,Ideal,I,SI1,62.1,56.0,6.79,6.77,4.21,5154
181,0.7,Very Good,I,VS2,60.7,59.0,5.75,5.79,3.5,2025
182,0.72,Very Good,E,SI2,62.3,58.0,5.7,5.76,3.57,2252
183,0.7,Ideal,F,SI1,62.6,57.0,5.59,5.62,3.51,2453
184,1.27,Premium,F,VS1,60.3,58.0,7.06,7.04,4.25,10028
185,0.31,Ideal,E,VS2,62.4,54.0,4.31,4.35,2.7,680
186,0.32,Premium,F,VS2,61.7,58.0,4.38,4.41,2.71,645
187,1.32,Very Good,I,VS2,60.5,59.0,7.02,7.06,4.26,7125
188,1.03,Ideal,E,VVS2,61.7,56.0,6.49,6.51,4.01,11611
189,0.3,Good,E,VVS2,59.8,64.0,4.34,4.29,2.58,1026
190,0.51,Ideal,E,VS2,60.4,57.0,5.15,5.18,3.12,1656
191,1.04,Premium,H,SI2,61.5,59.0,6.54,6.51,4.01,4368
192,1.72,Premium,H,SI1,62.2,59.0,7.62,7.55,4.72,9551
193,0.55,Ideal,H,VS2,61.9,54.0,5.25,5.28,3.26,1402
194,1.09,Ideal,H,SI1,61.1,57.0,6.69,6.6,4.1,5219
195,0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,898
196,1.21,Ideal,E,VS1,61.7,56.0,6.82,6.85,4.22,12111
197,2.01,Ideal,G,SI2,61.9,57.0,8.0,8.08,4.98,17555
198,0.58,Ideal,E,VS2,61.6,55.0,5.38,5.33,3.3,1984
199,0.83,Premium,D,SI1,62.2,60.0,6.01,5.98,3.73,3347
200,0.33,Premium,F,SI1,59.9,61.0,4.47,4.44,2.67,705
201,0.73,Ideal,D,SI2,61.8,56.0,5.77,5.82,3.58,2729
202,0.59,Ideal,F,VVS2,62.0,55.0,5.36,5.38,3.33,2611
203,0.43,Very Good,G,VS2,62.9,59.0,4.78,4.83,3.02,867
204,0.53,Premium,D,VS2,59.9,58.0,5.26,5.29,3.16,1734
205,0.32,Ideal,H,SI1,61.8,55.0,4.39,4.41,2.72,479
206,1.02,Very Good,I,SI1,62.9,58.0,6.36,6.42,4.02,3927
207,0.51,Ideal,G,VS1,62.1,55.0,5.17,5.14,3.2,1781
208,1.09,Very Good,I,SI2,62.5,57.0,6.56,6.58,4.11,4584
209,1.01,Good,J,VS1,61.5,61.0,6.39,6.45,3.95,4189
210,0.59,Premium,D,VVS2,62.6,58.0,5.34,5.4,3.36,2515
211,0.28,Very Good,E,VVS2,58.7,60.0,4.31,4.34,2.54,608
212,0.52,Very Good,F,VVS2,61.5,57.0,5.18,5.22,3.19,2079
213,1.26,Ideal,F,SI1,60.6,56.0,7.05,6.98,4.25,6922
214,0.32,Premium,G,VVS2,61.2,59.0,4.44,4.39,2.7,936
215,0.36,Premium,D,SI1,60.1,57.0,4.66,4.62,2.79,851
216,0.3,Ideal,E,VVS1,60.5,57.0,4.34,4.39,2.64,895
217,1.19,Ideal,H,VS2,62.1,59.0,6.82,6.73,4.21,6662
218,1.18,Premium,J,SI1,62.5,55.0,6.82,6.74,4.24,4460
219,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,16241
220,0.31,Ideal,G,VVS1,62.8,57.0,4.33,4.3,2.71,977
221,1.0,Fair,G,SI1,63.1,59.0,6.32,6.27,3.97,4163
222,0.54,Very Good,F,VS2,58.2,60.0,5.34,5.39,3.12,1551
223,2.1,Fair,F,SI2,64.7,61.0,7.97,7.92,5.14,15827
224,1.0,Fair,E,SI2,65.8,58.0,6.28,6.16,4.09,2948
225,0.3,Ideal,I,VVS1,62.1,54.0,4.29,4.31,2.67,540
226,1.82,Premium,G,SI2,61.3,58.0,7.94,7.83,4.83,12081
227,2.02,Premium,H,SI2,61.4,59.0,8.15,8.08,4.98,15606
228,0.77,Ideal,H,SI1,61.3,56.0,5.87,5.91,3.61,3089
229,0.71,Ideal,G,VVS1,61.7,57.0,5.75,5.7,3.53,2930
230,0.9,Good,H,SI1,64.4,58.0,6.04,6.08,3.9,3465
231,1.01,Ideal,E,VS2,61.9,55.0,6.44,6.38,3.97,6787
232,0.35,Premium,D,VS2,62.0,58.0,4.54,4.56,2.82,829
233,0.91,Ideal,E,SI2,62.4,57.0,6.17,6.21,3.86,4821
234,2.02,Premium,I,SI2,61.1,61.0,8.11,8.08,4.95,13991
235,0.4,Premium,D,SI2,61.1,58.0,4.76,4.73,2.9,855
236,1.18,Ideal,D,SI1,61.9,55.0,6.76,6.8,4.2,7087
237,0.35,Very Good,H,VVS1,61.2,60.0,4.5,4.55,2.77,798
238,0.35,Ideal,I,VVS1,61.6,55.0,4.55,4.58,2.81,628
239,0.35,Ideal,I,SI2,61.6,55.0,4.62,4.53,2.82,580
240,1.0,Ideal,E,VS2,61.7,54.0,6.41,6.46,3.97,6859
241,0.33,Ideal,G,IF,61.9,55.0,4.44,4.45,2.75,946
242,0.83,Ideal,E,SI1,62.3,55.0,5.98,6.02,3.74,3837
243,0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,1776
244,0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41,402
245,1.2,Good,E,VS2,61.8,61.0,6.69,6.71,4.14,8563
246,1.02,Good,D,SI2,58.9,65.0,6.59,6.54,3.87,3842
247,1.31,Ideal,I,SI2,61.0,59.0,7.05,7.01,4.29,5820
248,0.71,Very Good,J,VS2,59.0,61.0,5.81,5.85,3.44,1922
249,1.09,Very Good,H,VS1,60.2,61.0,6.66,6.7,4.02,5845
250,0.33,Ideal,F,VVS2,61.3,56.0,4.44,4.46,2.73,810
251,0.36,Premium,G,VS1,59.7,59.0,4.61,4.64,2.76,726
252,0.31,Premium,H,VVS1,62.1,58.0,4.36,4.33,2.7,907
253,0.6,Ideal,D,SI1,61.4,55.0,5.45,5.47,3.35,2263
254,0.5,Ideal,E,VS1,61.9,55.0,5.08,5.13,3.16,1675
255,0.51,Premium,E,VS2,61.5,60.0,5.12,5.09,3.14,1567
256,1.93,Premium,H,VS2,62.8,58.0,7.91,7.86,4.95,17353
257,1.25,Premium,H,VS1,61.3,55.0,6.96,6.93,4.26,8099
258,0.34,Premium,H,VS1,61.4,59.0,4.5,4.53,2.77,596
259,0.7,Premium,G,I1,61.9,58.0,5.74,5.69,3.54,1650
260,1.2,Ideal,H,SI1,61.9,54.0,6.8,6.86,4.23,6169
261,0.31,Ideal,D,VS2,61.3,57.0,4.36,4.41,2.69,621
262,0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47,355
263,0.51,Premium,D,VVS2,62.4,59.0,5.13,5.06,3.18,2387
264,0.55,Very Good,G,SI1,60.7,56.0,5.32,5.38,3.25,1141
265,0.31,Ideal,D,VS2,61.5,56.0,4.41,4.37,2.7,942
266,1.07,Very Good,G,VS2,60.5,56.0,6.64,6.71,4.04,6355
267,0.5,Premium,F,SI1,61.7,57.0,5.09,5.06,3.13,1231
268,1.1,Ideal,F,VS2,62.2,57.0,6.62,6.59,4.11,7658
269,1.5,Good,G,SI2,57.5,63.0,7.53,7.49,4.32,6006
270,2.03,Fair,G,SI2,64.9,59.0,7.85,7.99,5.14,14687
271,1.2,Ideal,I,VS2,62.3,57.0,6.74,6.8,4.22,5736
272,1.7,Very Good,E,VS2,58.6,60.0,7.91,7.82,4.61,18107
273,0.33,Ideal,I,IF,61.8,55.0,4.46,4.47,2.76,694
274,1.52,Premium,J,VS2,62.0,59.0,7.28,7.31,4.52,7758
275,1.32,Premium,G,SI1,62.1,59.0,7.03,6.99,4.35,6542
276,1.01,Good,D,VS1,56.8,61.0,6.5,6.45,3.68,5050
277,0.43,Very Good,F,SI2,58.3,62.0,4.91,4.97,2.88,633
278,0.32,Premium,E,I1,60.9,58.0,4.38,4.42,2.68,345
279,0.72,Very Good,H,SI2,63.5,55.0,5.66,5.62,3.58,1799
280,0.36,Very Good,E,SI1,62.4,55.0,4.52,4.55,2.83,631
281,1.01,Premium,H,SI1,62.2,54.0,6.48,6.41,4.01,4707
282,1.22,Good,H,SI2,63.5,56.0,6.84,6.77,4.32,6250
283,0.32,Ideal,D,SI2,62.8,57.0,4.38,4.35,2.74,612
284,1.6,Ideal,F,SI2,61.7,56.0,7.5,7.53,4.64,10472
285,0.51,Ideal,F,SI1,61.3,56.0,5.19,5.16,3.17,1406
286,1.51,Premium,D,SI2,63.0,62.0,7.28,7.23,4.57,9894
287,0.55,Ideal,F,VVS2,62.0,55.0,5.26,5.29,3.27,2268
288,0.3,Very Good,E,SI1,62.1,60.0,4.27,4.29,2.66,526
289,0.53,Ideal,F,VS1,62.1,57.0,5.21,5.16,3.22,1908
290,0.72,Very Good,E,SI2,61.4,58.0,5.76,5.8,3.55,2688
291,0.71,Ideal,F,VVS2,61.6,54.0,5.76,5.79,3.56,4167
292,1.03,Premium,G,VS2,62.3,59.0,6.42,6.38,3.99,6327
293,1.0,Fair,G,SI1,65.2,62.0,6.19,6.08,4.01,3965
294,0.83,Ideal,G,VS1,62.1,55.0,6.02,6.05,3.75,4989
295,0.5,Premium,E,SI1,59.3,59.0,5.19,5.24,3.09,1410
296,0.55,Premium,E,VS1,59.6,60.0,5.41,5.36,3.15,2277
297,1.03,Ideal,G,SI2,62.1,57.0,6.44,6.42,3.99,4470
298,1.01,Very Good,I,SI1,62.0,54.0,6.36,6.51,3.99,3888
299,1.0,Good,E,SI1,58.2,61.0,6.53,6.57,3.81,5330
300,0.37,Ideal,E,VS1,60.9,56.0,4.65,4.68,2.84,950
301,0.77,Very Good,E,VS1,59.4,61.0,5.98,5.94,3.54,3488
302,1.0,Good,G,VS2,63.1,58.0,6.31,6.39,4.01,5621
303,0.34,Ideal,H,VVS2,61.8,54.0,4.47,4.49,2.77,686
304,1.09,Ideal,E,VS2,60.7,57.0,6.66,6.68,4.05,9346
305,1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924
306,1.56,Very Good,I,SI1,62.9,58.0,7.31,7.35,4.61,7584
307,0.54,Ideal,F,SI2,61.0,56.0,5.24,5.29,3.21,1173
308,0.57,Ideal,F,VVS1,61.3,56.0,5.37,5.4,3.3,3313
309,0.55,Very Good,J,SI1,60.9,56.0,5.29,5.35,3.24,1100
310,0.7,Ideal,E,SI2,62.5,54.0,5.68,5.71,3.56,2283
311,1.0,Premium,F,SI1,62.6,60.0,6.3,6.32,3.95,5197
312,1.0,Very Good,G,IF,58.3,62.0,6.51,6.57,3.81,8002
313,1.01,Good,H,VS2,64.3,58.0,6.27,6.2,4.01,4489
314,1.01,Premium,E,SI1,62.9,60.0,6.43,6.35,4.02,5599
315,1.2,Fair,I,I1,66.2,55.0,6.61,6.51,4.34,3011
316,1.04,Ideal,H,SI2,60.3,56.0,6.61,6.58,3.98,4193
317,1.1,Ideal,H,SI1,60.2,56.0,6.74,6.82,4.08,4827
318,0.75,Ideal,H,SI1,61.9,55.0,5.82,5.85,3.61,3011
319,0.33,Very Good,H,VVS1,62.5,55.0,4.43,4.47,2.78,692
320,1.51,Very Good,I,SI2,63.2,58.0,7.31,7.27,4.61,6914
321,0.3,Ideal,D,VVS2,59.5,56.0,4.42,4.38,2.62,950
322,1.02,Premium,G,VS2,62.9,58.0,6.41,6.37,4.02,5593
323,1.22,Premium,G,VS2,61.1,56.0,6.94,6.85,4.21,8062
324,0.7,Ideal,G,VVS1,61.6,55.0,5.72,5.75,3.53,3073
325,0.3,Ideal,F,VS2,60.7,57.0,4.29,4.34,2.62,605
326,1.21,Ideal,I,VS2,62.0,60.0,6.77,6.84,4.22,6135
327,1.59,Premium,I,VS2,62.0,58.0,7.44,7.39,4.6,7479
328,0.48,Good,G,VS1,58.6,62.0,5.14,5.2,3.03,1199
329,0.38,Premium,G,VS2,59.9,58.0,4.77,4.72,2.84,983
330,1.52,Very Good,H,VS1,59.8,57.0,7.47,7.55,4.49,10497
331,1.72,Ideal,G,VS2,62.8,57.0,7.65,7.58,4.78,12830
332,0.75,Good,E,SI2,59.7,62.0,5.85,5.88,3.5,2497
333,1.01,Very Good,H,SI1,62.3,57.0,6.36,6.42,3.98,4306
334,0.32,Ideal,F,VS2,61.5,55.0,4.42,4.4,2.71,828
335,1.13,Premium,E,SI2,59.4,62.0,6.83,6.78,4.04,4040
336,0.54,Ideal,H,VVS1,61.9,54.0,5.22,5.25,3.24,1774
337,2.16,Ideal,E,SI2,61.4,57.0,8.36,8.33,5.12,17263
338,0.26,Ideal,H,VVS1,61.2,56.0,4.11,4.16,2.53,468
339,0.5,Premium,E,VS2,58.6,60.0,5.21,5.16,3.04,1654
340,0.3,Very Good,D,VS1,58.0,62.0,4.44,4.45,2.58,666
341,1.0,Premium,D,VS2,60.8,61.0,6.41,6.39,3.89,6776
342,0.7,Ideal,H,VVS2,60.9,56.0,5.76,5.79,3.52,3325
343,0.41,Very Good,D,SI2,62.7,58.0,4.75,4.78,2.99,683
344,0.75,Ideal,I,SI1,61.8,55.0,5.83,5.85,3.61,2871
345,0.41,Ideal,D,VS1,61.6,55.0,4.79,4.82,2.96,921
346,1.21,Premium,F,VVS1,63.0,59.0,6.75,6.7,4.24,11175
347,1.23,Ideal,F,SI2,62.3,58.0,6.8,6.84,4.25,5894
348,0.32,Ideal,F,VS2,62.6,57.0,4.41,4.37,2.75,707
349,0.3,Ideal,F,VS1,62.1,55.0,4.31,4.35,2.69,612
350,2.1,Very Good,J,SI2,62.0,62.0,8.17,8.23,5.08,12196
351,1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,16960
352,0.27,Ideal,H,VS2,61.7,56.0,4.13,4.17,2.56,451
